query_protein,instance_type,ucf_json_file,ucf_object_index,ucf_record_type,gate_or_fragment_name,has_response_parameters,target_metric,target_metric_name,target_metric_source,derived_dynamic_range,derived_log10_on_off_ratio,ucf_param_ymax,ucf_param_ymin,ucf_param_K,ucf_param_n,ucf_param_a,ucf_param_b,ucf_param_alpha,ucf_param_beta,ucf_param_tau_on,ucf_param_tau_off
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,666,eugene_rules,gate_phlf,0,,,not_found,,,,,,,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,278,response_functions,P3_PhlF,1,1522.0915821221158,on_off_ratio,derived_from_ymax_ymin,7.083442096000001,3.182440784112406,7.088098911,0.004656815,0.116044457,3.342819362,0.240700115,0.061908386,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,358,response_functions,P1_PhlF,1,1584.7234744235752,on_off_ratio,derived_from_ymax_ymin,6.869075907,3.199953491153664,6.873413202,0.004337295,0.042126721,3.804263913,0.222204213,0.064388009,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,366,response_functions,P2_PhlF,1,1120.827337839778,on_off_ratio,derived_from_ymax_ymin,7.4801856970000005,3.0495387151829374,7.486865464,0.006679767,0.20384996,4.481560106,0.146320601,0.117556995,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,513,gates,P1_PhlF_a,0,,,not_found,,,,,,,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,520,gates,P1_PhlF_b,0,,,not_found,,,,,,,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,527,response_functions,P1_PhlF_a,1,622.2307692307693,on_off_ratio,derived_from_ymax_ymin,5.112108,2.793951483109446,5.120337,0.008229,0.15192,2.4223,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,569,response_functions,P1_PhlF_b,1,622.2307692307693,on_off_ratio,derived_from_ymax_ymin,5.112108,2.793951483109446,5.120337,0.008229,0.15192,2.4223,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\SC\SC1C1G1T1.UCF.json,283,response_functions,P1_PhlF_a,1,535.0,on_off_ratio,derived_from_ymax_ymin,3.204,2.7283537820212285,3.21,0.006,0.211,3.57,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\SC\SC1C1G1T1.UCF.json,355,response_functions,P1_PhlF_b,1,1.0,on_off_ratio,derived_from_ymax_ymin,0.0,0.0,0.01,0.01,1.0,1.0,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,360,models,P1_PhlF_model,1,390.0,on_off_ratio,derived_from_ymax_ymin,3.89,2.591064607026499,3.9,0.01,0.03,4.0,,,0.22220421323746709,0.06438800857775553,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,361,,p1_phlf,0,,,not_found,,,,,,,,,,,,
